iter	Passed	Remaining
419	2533	1688
420	2538	1682
421	2544	1676
422	2551	1670
423	2556	1664
424	2562	1658
425	2569	1652
426	2574	1646
427	2580	1640
428	2586	1634
429	2592	1627
430	2598	1622
431	2605	1616
432	2611	1610
433	2616	1603
434	2623	1597
435	2629	1591
436	2634	1585
437	2641	1579
438	2646	1573
439	2651	1567
440	2657	1560
441	2663	1554
442	2669	1548
443	2675	1542
444	2681	1536
445	2688	1530
446	2693	1524
447	2698	1518
448	2704	1511
449	2709	1505
450	2716	1499
451	2722	1493
452	2728	1487
453	2734	1481
454	2739	1474
455	2744	1468
456	2750	1462
457	2756	1456
458	2762	1450
459	2767	1444
460	2773	1437
461	2778	1431
462	2784	1425
463	2790	1419
464	2795	1412
465	2801	1406
466	2806	1400
467	2813	1394
468	2819	1388
469	2825	1382
470	2831	1376
471	2837	1370
472	2842	1364
473	2848	1357
474	2853	1351
475	2860	1345
476	2866	1339
477	2872	1333
478	2878	1328
479	2884	1321
480	2889	1315
481	2895	1309
482	2901	1303
483	2907	1297
484	2913	1291
485	2919	1285
486	2925	1279
487	2931	1273
488	2936	1267
489	2942	1261
490	2948	1255
491	2955	1249
492	2960	1242
493	2966	1236
494	2971	1230
495	2978	1224
496	2984	1218
497	2990	1213
498	2996	1206
499	3002	1201
500	3008	1195
501	3014	1189
502	3020	1183
503	3026	1176
504	3032	1170
505	3037	1164
506	3043	1158
507	3049	1152
508	3055	1146
509	3061	1140
510	3067	1134
511	3073	1128
512	3079	1122
513	3084	1116
514	3091	1110
515	3097	1104
516	3103	1098
517	3109	1092
518	3115	1086
519	3121	1080
520	3128	1074
521	3133	1068
522	3139	1062
523	3145	1056
524	3151	1050
525	3157	1044
526	3163	1038
527	3169	1032
528	3175	1026
529	3181	1020
530	3186	1014
531	3192	1008
532	3198	1002
533	3205	996
534	3211	990
535	3217	984
536	3223	978
537	3229	972
538	3235	966
539	3240	960
540	3247	954
541	3253	948
542	3259	942
543	3265	936
544	3271	930
545	3277	924
546	3282	918
547	3289	912
548	3295	906
549	3301	900
550	3307	894
551	3313	888
552	3319	882
553	3326	876
554	3332	870
555	3337	864
556	3344	858
557	3349	852
558	3355	846
559	3362	840
560	3368	834
561	3374	828
562	3380	822
563	3386	816
564	3393	810
565	3399	804
566	3405	798
567	3411	792
568	3416	786
569	3422	780
570	3429	774
571	3434	768
572	3440	762
573	3446	756
574	3452	750
575	3459	744
576	3465	738
577	3472	732
578	3477	726
579	3484	720
580	3490	714
581	3496	708
582	3502	702
583	3508	696
584	3514	690
585	3520	684
586	3526	678
587	3532	672
588	3538	666
589	3544	660
590	3550	654
591	3556	648
592	3562	642
593	3568	636
594	3574	630
595	3580	624
596	3586	618
597	3592	612
598	3598	606
599	3604	600
600	3610	594
601	3616	588
602	3622	582
603	3627	576
604	3632	570
605	3638	564
606	3644	558
607	3650	552
608	3656	546
609	3662	540
610	3668	534
611	3675	528
612	3680	522
613	3686	516
614	3692	510
615	3698	504
616	3703	498
617	3710	492
618	3715	486
619	3721	480
620	3726	474
621	3732	468
622	3737	461
623	3743	455
624	3749	449
625	3754	443
626	3760	437
627	3766	431
628	3772	425
629	3778	419
630	3784	413
631	3790	407
632	3795	401
633	3801	395
634	3807	389
635	3814	383
636	3819	377
637	3825	371
638	3830	365
639	3836	359
640	3841	353
641	3847	347
642	3854	341
643	3860	335
644	3866	329
645	3872	323
646	3878	317
647	3885	311
648	3891	305
649	3897	299
650	3902	293
651	3908	287
652	3914	281
653	3920	275
654	3926	269
655	3932	263
656	3938	257
657	3943	251
658	3949	245
659	3956	239
660	3961	233
661	3967	227
662	3973	221
663	3979	215
664	3986	209
665	3991	203
666	3997	197
667	4003	191
668	4009	185
669	4015	179
670	4022	173
671	4028	167
672	4033	161
673	4039	155
674	4045	149
675	4051	143
676	4057	137
677	4063	131
678	4069	125
679	4074	119
680	4081	113
681	4087	107
682	4093	101
683	4099	95
684	4104	89
685	4110	83
686	4117	77
687	4123	71
688	4128	65
689	4134	59
690	4140	53
691	4146	47
692	4152	41
693	4157	35
694	4163	29
695	4169	23
696	4175	17
697	4181	11
698	4188	5
699	4194	0
