iter	Logloss
0	0.6498520517
1	0.6020538732
2	0.5623567583
3	0.5216024928
4	0.4925591684
5	0.4619352757
6	0.4295196938
7	0.4024149283
8	0.3749087427
9	0.351574395
10	0.3293835032
11	0.3098505505
12	0.293917116
13	0.2758724805
14	0.2594410401
15	0.2433028088
16	0.230722593
17	0.218541512
18	0.2062027131
19	0.1953863395
20	0.1850106906
21	0.176098251
22	0.1671418652
23	0.1589557013
24	0.1514532171
25	0.1452506403
26	0.1386862914
27	0.1325542569
28	0.1269484252
29	0.1217025623
30	0.1167363873
31	0.1121111371
32	0.1080696133
33	0.1043351041
34	0.1006228648
35	0.09699328098
36	0.09392332969
37	0.0910447491
38	0.08805575679
39	0.08544251395
40	0.08307300338
41	0.08069656692
42	0.07850982377
43	0.07627292142
44	0.07414050558
45	0.07273358235
46	0.0709543215
47	0.06914021306
48	0.06782170577
49	0.06680388854
50	0.06517206797
51	0.06422853393
52	0.06318318052
53	0.06233619126
54	0.06096462839
55	0.0600084164
56	0.05914294143
57	0.0584404766
58	0.05739755731
59	0.05647648575
60	0.05577139588
61	0.05512816859
62	0.05443325713
63	0.05388936743
64	0.0533924567
65	0.05260317912
66	0.0516815164
67	0.05115572876
68	0.05026055598
69	0.04941262914
70	0.0488352387
71	0.04839095247
72	0.04800377085
73	0.04754480678
74	0.04710481724
75	0.04670365004
76	0.04637477255
77	0.04583098749
78	0.04541494541
79	0.04505848373
80	0.04452987871
81	0.04400684935
82	0.04372901765
83	0.04321045124
84	0.04289060433
85	0.04251286744
86	0.04221482045
87	0.04172948544
88	0.04149401747
89	0.04122698882
90	0.04097775107
91	0.04076514912
92	0.0402974538
93	0.03995496494
94	0.03961944127
95	0.03940316286
96	0.03919661009
97	0.03904911862
98	0.03883312939
99	0.03858228755
100	0.0383719113
101	0.03810026527
102	0.03771200132
103	0.03748625576
104	0.0373120509
105	0.03712976466
106	0.0369080374
107	0.0365665206
108	0.03644408104
109	0.03627947267
110	0.03609828523
111	0.03598933558
112	0.03581881792
113	0.03570732755
114	0.03541789932
115	0.03519894788
116	0.03506981571
117	0.03491329628
118	0.03478700475
119	0.03454764041
120	0.03441325363
121	0.03425434823
122	0.03411555662
123	0.03402220848
124	0.03393237497
125	0.03383128643
126	0.03373726605
127	0.03364971409
128	0.03355239071
129	0.03337635851
130	0.03328708948
131	0.03318924341
132	0.03309979334
133	0.03303781104
134	0.03294851739
135	0.03284974421
136	0.03276561602
137	0.0326835337
138	0.03259943348
139	0.03244392807
140	0.03238035564
141	0.03230635299
142	0.03216818405
143	0.0320299567
144	0.03191538081
145	0.03183074194
146	0.03172758417
147	0.03163759727
148	0.03156043545
149	0.03143956958
150	0.03139613709
151	0.03134480253
152	0.03121705007
153	0.03116256687
154	0.03109961115
155	0.03105641118
156	0.03101654943
157	0.03094000534
158	0.03086733038
159	0.03082338038
160	0.0307317224
161	0.03068354849
162	0.03061848895
163	0.03057454211
164	0.0305310763
165	0.0304891089
166	0.03044587551
167	0.0303619424
168	0.03033257095
169	0.03029266111
170	0.03025767266
171	0.03020482485
172	0.03014251753
173	0.03008782396
174	0.03005630147
175	0.02999973302
176	0.02990503666
177	0.02987640113
178	0.02980254739
179	0.02974767961
180	0.0297004624
181	0.0296039564
182	0.02954331307
183	0.02951434283
184	0.02946015904
185	0.02941854203
186	0.02936914455
187	0.02934087322
188	0.02930906152
189	0.02924432327
190	0.02919216838
191	0.02915446374
192	0.02912459332
193	0.02909381628
194	0.02904945649
195	0.0289728683
196	0.02894338581
197	0.02890295942
198	0.02884178736
199	0.02879153162
200	0.02874848349
201	0.02871870729
202	0.02868942939
203	0.02866686552
204	0.02862053482
205	0.02859353787
206	0.02856893836
207	0.02852911079
208	0.02851043247
209	0.02847374195
210	0.02842573257
211	0.02838182697
212	0.02836589126
213	0.02832382157
214	0.0282800954
215	0.02823151457
216	0.02819793053
217	0.02814035245
218	0.02811777109
219	0.02809258412
220	0.02807089774
221	0.02804822276
222	0.02802329025
223	0.02800367975
224	0.02796846899
225	0.02793957396
226	0.02789683812
227	0.02781767508
228	0.02777479184
229	0.02773956934
230	0.02769733159
231	0.02767098763
232	0.02762523628
233	0.02758387064
234	0.02755787894
235	0.02753600561
236	0.0274953866
237	0.02745945544
238	0.02742197251
239	0.02738537392
240	0.02735122102
241	0.02732800308
242	0.02730672664
243	0.02725887182
244	0.0272189581
245	0.02720119514
246	0.0271601293
247	0.02713866581
248	0.02712336616
249	0.02709356934
250	0.02706820542
251	0.02704897582
252	0.02703019081
253	0.02701031869
254	0.02698320039
255	0.02696203246
256	0.02693722559
257	0.02691663996
258	0.02689934635
259	0.02687039723
260	0.026839111
261	0.02680735493
262	0.02675860178
263	0.02673070942
264	0.02670052395
265	0.02667456606
266	0.02663289155
267	0.026591334
268	0.02657100581
269	0.02656150792
270	0.02653714474
271	0.02649764915
272	0.02646790073
273	0.02645210825
274	0.02641268468
275	0.02640153512
276	0.02638580914
277	0.0263702679
278	0.02635717793
279	0.02632176244
280	0.02630770357
281	0.02627899129
282	0.02624792054
283	0.02623278356
284	0.02621578113
285	0.02618836714
286	0.02617075842
287	0.02614873542
288	0.02612119421
289	0.02610066861
290	0.02608486714
291	0.02607173633
292	0.02605410447
293	0.02604511074
294	0.02603362502
295	0.02602014435
296	0.02600166075
297	0.02598202893
298	0.02595477383
299	0.02593950017
300	0.02590612772
301	0.02588760816
302	0.02586855355
303	0.0258402109
304	0.02582862521
